actor(0, 3) = 0.35215774178504944
actor(2, 0) = 0.33592256903648376
actor(3, 0) = 0.49284371733665466
actor(4, 4) = 0.3463066518306732
goal(1, 3) = 0.25976142287254333
goal(3, 1) = 0.26594680547714233
goal(3, 4) = 0.3216263949871063
goal(4, 1) = 0.25539955496788025
enemy(0, 1) = 0.2617812752723694
enemy(0, 4) = 0.23923838138580322
enemy(1, 1) = 0.24100060760974884
enemy(1, 3) = 0.24575293064117432
enemy(2, 3) = 0.23816698789596558
enemy(3, 1) = 0.25079792737960815
enemy(3, 2) = 0.29017412662506104
enemy(4, 0) = 0.2530089020729065
