actor(0, 0) = 0.29721227288246155
actor(1, 2) = 0.31552398204803467
actor(1, 4) = 0.3115815222263336
actor(2, 4) = 0.3183319866657257
goal(0, 2) = 0.2744132876396179
goal(2, 0) = 0.2692112326622009
goal(2, 3) = 0.27831289172172546
goal(3, 1) = 0.2651344835758209
enemy(0, 2) = 0.2682763636112213
enemy(0, 3) = 0.269720196723938
enemy(1, 2) = 0.27598142623901367
enemy(1, 3) = 0.26044291257858276
enemy(2, 2) = 0.26057296991348267
enemy(2, 4) = 0.26083245873451233
enemy(3, 0) = 0.26750272512435913
enemy(4, 3) = 0.2863134741783142
