actor(0, 1) = 0.32214462757110596
actor(1, 2) = 0.3987636864185333
actor(1, 4) = 0.31907206773757935
actor(4, 3) = 0.3429153263568878
goal(0, 0) = 0.27738437056541443
goal(1, 1) = 0.28658682107925415
goal(1, 3) = 0.27879878878593445
goal(3, 1) = 0.32322949171066284
enemy(0, 0) = 0.2479674369096756
enemy(0, 3) = 0.242985799908638
enemy(0, 4) = 0.24787573516368866
enemy(1, 1) = 0.2743212580680847
enemy(1, 3) = 0.24167761206626892
enemy(2, 0) = 0.25989145040512085
enemy(4, 1) = 0.23637300729751587
enemy(4, 4) = 0.282160222530365
