actor(0, 0) = 0.3851205110549927
actor(1, 2) = 0.32205691933631897
actor(1, 3) = 0.3640812933444977
actor(4, 3) = 0.3112238347530365
goal(1, 1) = 0.3172491490840912
goal(2, 1) = 0.27027562260627747
goal(3, 3) = 0.2661513388156891
goal(4, 0) = 0.26737090945243835
enemy(0, 2) = 0.27652791142463684
enemy(0, 3) = 0.26502084732055664
enemy(0, 4) = 0.26160183548927307
enemy(2, 0) = 0.27067241072654724
enemy(2, 1) = 0.2909368574619293
enemy(2, 3) = 0.25808843970298767
enemy(3, 1) = 0.26087939739227295
enemy(3, 2) = 0.2833501100540161
