actor(0, 2) = 0.3151148855686188
actor(2, 0) = 0.4606979191303253
actor(4, 0) = 0.3273251950740814
actor(4, 3) = 0.3132748007774353
goal(3, 0) = 0.262917697429657
goal(3, 2) = 0.2944549024105072
goal(3, 4) = 0.2671063244342804
goal(4, 1) = 0.3307836353778839
enemy(0, 2) = 0.23952341079711914
enemy(0, 3) = 0.27620235085487366
enemy(0, 4) = 0.23579014837741852
enemy(1, 1) = 0.2510080635547638
enemy(1, 3) = 0.2418457567691803
enemy(1, 4) = 0.3067050278186798
enemy(3, 4) = 0.2565692961215973
enemy(4, 4) = 0.2401982843875885
