actor(0, 2) = 0.3241439163684845
actor(1, 0) = 0.3171057403087616
actor(4, 0) = 0.3095833659172058
actor(4, 4) = 0.3105151951313019
goal(0, 0) = 0.2653762996196747
goal(4, 1) = 0.2657468914985657
goal(4, 2) = 0.34657740592956543
goal(4, 3) = 0.2685043215751648
enemy(0, 1) = 0.2513200640678406
enemy(0, 3) = 0.24344949424266815
enemy(0, 4) = 0.24690277874469757
enemy(1, 4) = 0.24511489272117615
enemy(2, 3) = 0.24898898601531982
enemy(3, 2) = 0.2848130762577057
enemy(3, 4) = 0.25248998403549194
enemy(4, 3) = 0.2455786168575287
