actor(0, 2) = 0.33559730648994446
actor(1, 0) = 0.3486698269844055
actor(3, 2) = 0.4960188865661621
actor(4, 3) = 0.37178516387939453
goal(0, 0) = 0.2751573324203491
goal(2, 0) = 0.260949045419693
goal(2, 2) = 0.267338365316391
goal(4, 0) = 0.2978982627391815
enemy(0, 3) = 0.24581517279148102
enemy(0, 4) = 0.23395892977714539
enemy(1, 4) = 0.23043859004974365
enemy(2, 4) = 0.2292235791683197
enemy(3, 1) = 0.24010856449604034
enemy(3, 3) = 0.23414647579193115
enemy(4, 0) = 0.2571078836917877
enemy(4, 4) = 0.23342064023017883
