actor(0, 3) = 0.41650909185409546
actor(1, 0) = 0.32821816205978394
actor(1, 2) = 0.322131872177124
actor(4, 0) = 0.37535688281059265
goal(0, 4) = 0.27814993262290955
goal(1, 1) = 0.26920390129089355
goal(2, 3) = 0.2706315219402313
goal(4, 3) = 0.3113945424556732
enemy(0, 1) = 0.2521671950817108
enemy(2, 1) = 0.24580295383930206
enemy(2, 2) = 0.2803484797477722
enemy(2, 3) = 0.25182124972343445
enemy(3, 0) = 0.256132036447525
enemy(3, 3) = 0.24932605028152466
enemy(4, 1) = 0.24891600012779236
enemy(4, 2) = 0.26436543464660645
