actor(0, 2) = 0.4484946131706238
actor(1, 0) = 0.3195886015892029
actor(1, 2) = 0.3314386308193207
actor(4, 4) = 0.32406875491142273
goal(0, 4) = 0.2732301652431488
goal(1, 4) = 0.27265289425849915
goal(2, 0) = 0.28554463386535645
goal(3, 2) = 0.3107326924800873
enemy(0, 0) = 0.26260191202163696
enemy(0, 3) = 0.2458602637052536
enemy(0, 4) = 0.2410721480846405
enemy(2, 4) = 0.2337719351053238
enemy(3, 0) = 0.24213308095932007
enemy(3, 1) = 0.23116591572761536
enemy(3, 3) = 0.24239446222782135
enemy(4, 3) = 0.23208148777484894
