actor(0, 2) = 0.39617496728897095
actor(1, 2) = 0.32734590768814087
actor(2, 2) = 0.334041029214859
actor(3, 0) = 0.4665071368217468
goal(0, 0) = 0.25807684659957886
goal(2, 0) = 0.2673136293888092
goal(3, 1) = 0.3308987617492676
goal(3, 4) = 0.25958216190338135
enemy(0, 1) = 0.2715248167514801
enemy(0, 3) = 0.2480625957250595
enemy(1, 4) = 0.25292903184890747
enemy(2, 1) = 0.239702969789505
enemy(2, 3) = 0.24788451194763184
enemy(3, 3) = 0.24765755236148834
enemy(3, 4) = 0.24263787269592285
enemy(4, 1) = 0.2406957894563675
