actor(0, 3) = 0.4147073030471802
actor(1, 0) = 0.311916321516037
actor(2, 0) = 0.33165833353996277
actor(4, 2) = 0.31927794218063354
goal(2, 1) = 0.2628245949745178
goal(3, 2) = 0.2658613324165344
goal(3, 4) = 0.26353222131729126
goal(4, 0) = 0.27111342549324036
enemy(0, 0) = 0.2589449882507324
enemy(0, 1) = 0.2890196144580841
enemy(0, 4) = 0.2506532669067383
enemy(1, 1) = 0.2929060459136963
enemy(2, 1) = 0.25813502073287964
enemy(2, 3) = 0.24175333976745605
enemy(3, 4) = 0.2560959756374359
enemy(4, 2) = 0.26029133796691895
