actor(0, 1) = 0.31580618023872375
actor(1, 4) = 0.3486863970756531
actor(2, 2) = 0.38162070512771606
actor(2, 4) = 0.32083001732826233
goal(0, 1) = 0.2722964584827423
goal(0, 3) = 0.2891506850719452
goal(3, 3) = 0.35476449131965637
goal(4, 0) = 0.269038587808609
enemy(0, 0) = 0.2412605732679367
enemy(0, 2) = 0.24781067669391632
enemy(0, 4) = 0.2531277537345886
enemy(1, 1) = 0.24185998737812042
enemy(2, 2) = 0.2702788710594177
enemy(2, 3) = 0.24162691831588745
enemy(3, 0) = 0.24291396141052246
enemy(3, 2) = 0.24565809965133667
