actor(0, 3) = 0.36864304542541504
actor(1, 2) = 0.3273712992668152
actor(2, 0) = 0.324261873960495
actor(4, 4) = 0.3474653959274292
goal(1, 1) = 0.27162545919418335
goal(1, 4) = 0.27523982524871826
goal(3, 2) = 0.25999632477760315
goal(3, 4) = 0.2620576024055481
enemy(0, 0) = 0.330401748418808
enemy(0, 1) = 0.2559875547885895
enemy(0, 4) = 0.2589585781097412
enemy(1, 1) = 0.2578636705875397
enemy(1, 4) = 0.2816774845123291
enemy(2, 1) = 0.2686336636543274
enemy(3, 1) = 0.2623027265071869
enemy(3, 2) = 0.26445502042770386
