actor(0, 2) = 0.34955164790153503
actor(2, 3) = 0.3883611857891083
actor(2, 4) = 0.3339364528656006
actor(3, 2) = 0.3574456572532654
goal(0, 1) = 0.2808067202568054
goal(3, 3) = 0.27151936292648315
goal(4, 1) = 0.2648170292377472
goal(4, 4) = 0.29709121584892273
enemy(0, 3) = 0.23590029776096344
enemy(0, 4) = 0.2551816999912262
enemy(1, 0) = 0.2501181662082672
enemy(2, 0) = 0.26896247267723083
enemy(2, 2) = 0.2840060293674469
enemy(3, 0) = 0.23557688295841217
enemy(3, 4) = 0.23829227685928345
enemy(4, 3) = 0.23685996234416962
