actor(0, 2) = 0.5689547657966614
actor(1, 2) = 0.3370305895805359
actor(1, 4) = 0.3586064577102661
actor(4, 0) = 0.3663557171821594
goal(0, 0) = 0.2709737718105316
goal(0, 1) = 0.26298508048057556
goal(2, 2) = 0.36378583312034607
goal(4, 2) = 0.2612742781639099
enemy(0, 0) = 0.2357911318540573
enemy(0, 3) = 0.24192394316196442
enemy(1, 1) = 0.239677295088768
enemy(2, 1) = 0.2319841980934143
enemy(2, 4) = 0.2368772327899933
enemy(3, 0) = 0.2333165556192398
enemy(3, 4) = 0.24133098125457764
enemy(4, 4) = 0.23716631531715393
