actor(1, 3) = 0.30243027210235596
actor(2, 2) = 0.318941593170166
actor(2, 3) = 0.4274459481239319
actor(2, 4) = 0.3402872085571289
goal(0, 0) = 0.26612213253974915
goal(2, 3) = 0.28823599219322205
goal(3, 1) = 0.2714044749736786
goal(4, 1) = 0.2870728671550751
enemy(0, 3) = 0.2612539827823639
enemy(0, 4) = 0.2589092254638672
enemy(1, 1) = 0.26343488693237305
enemy(1, 2) = 0.2765670120716095
enemy(1, 4) = 0.2690845727920532
enemy(2, 1) = 0.26508012413978577
enemy(3, 3) = 0.251469224691391
enemy(3, 4) = 0.2514813542366028
