actor(0, 0) = 0.38715896010398865
actor(1, 2) = 0.32329392433166504
actor(3, 0) = 0.3802044093608856
actor(4, 3) = 0.33523401618003845
goal(2, 0) = 0.25755730271339417
goal(3, 0) = 0.2543873190879822
goal(3, 4) = 0.264533668756485
goal(4, 0) = 0.2943270802497864
enemy(0, 1) = 0.25921154022216797
enemy(0, 3) = 0.27124711871147156
enemy(1, 4) = 0.2485240399837494
enemy(2, 2) = 0.2698625922203064
enemy(3, 2) = 0.2568318545818329
enemy(3, 3) = 0.24875634908676147
enemy(3, 4) = 0.25845158100128174
enemy(4, 4) = 0.26040762662887573
