actor(0, 2) = 0.4495214521884918
actor(1, 1) = 0.3652024269104004
actor(1, 2) = 0.3342064321041107
actor(4, 2) = 0.5039351582527161
goal(0, 0) = 0.2652207016944885
goal(2, 2) = 0.2565590441226959
goal(3, 4) = 0.25769567489624023
goal(4, 3) = 0.325461208820343
enemy(0, 1) = 0.23830002546310425
enemy(0, 4) = 0.2394353747367859
enemy(1, 0) = 0.24596670269966125
enemy(2, 0) = 0.24573424458503723
enemy(3, 3) = 0.2455819696187973
enemy(3, 4) = 0.2566863000392914
enemy(4, 3) = 0.24082717299461365
enemy(4, 4) = 0.2573606073856354
