actor(1, 0) = 0.3417661488056183
actor(2, 0) = 0.3439236283302307
actor(2, 3) = 0.6121480464935303
actor(4, 4) = 0.34397178888320923
goal(0, 2) = 0.27149224281311035
goal(3, 4) = 0.27238771319389343
goal(4, 0) = 0.26488521695137024
goal(4, 2) = 0.29208680987358093
enemy(0, 4) = 0.23447199165821075
enemy(1, 1) = 0.23930814862251282
enemy(1, 4) = 0.24819649755954742
enemy(2, 1) = 0.23870566487312317
enemy(2, 2) = 0.24223832786083221
enemy(3, 3) = 0.2719678580760956
enemy(4, 2) = 0.23861056566238403
enemy(4, 4) = 0.24163997173309326
