actor(0, 2) = 0.5146448016166687
actor(1, 0) = 0.36002638936042786
actor(4, 0) = 0.35040614008903503
actor(4, 3) = 0.3524697422981262
goal(1, 3) = 0.2668191194534302
goal(1, 4) = 0.273786336183548
goal(2, 1) = 0.33365556597709656
goal(3, 3) = 0.264822393655777
enemy(0, 0) = 0.25932028889656067
enemy(0, 3) = 0.22969965636730194
enemy(1, 0) = 0.28060901165008545
enemy(3, 0) = 0.2309868037700653
enemy(3, 2) = 0.2335466593503952
enemy(3, 3) = 0.22826224565505981
enemy(4, 2) = 0.24715837836265564
enemy(4, 4) = 0.23452350497245789
