actor(0, 2) = 0.31947171688079834
actor(1, 1) = 0.41890382766723633
actor(3, 2) = 0.3366249203681946
actor(4, 3) = 0.34624117612838745
goal(0, 0) = 0.27311834692955017
goal(2, 0) = 0.272436261177063
goal(3, 3) = 0.2731272280216217
goal(4, 0) = 0.30122894048690796
enemy(0, 3) = 0.2540360987186432
enemy(0, 4) = 0.3006475865840912
enemy(1, 2) = 0.2533661723136902
enemy(1, 4) = 0.2797003388404846
enemy(2, 1) = 0.24775323271751404
enemy(2, 4) = 0.25479361414909363
enemy(3, 1) = 0.24448871612548828
enemy(4, 4) = 0.24502287805080414
