actor(0, 3) = 0.2963726222515106
actor(1, 4) = 0.2807641625404358
actor(3, 1) = 0.2895311415195465
actor(4, 4) = 0.28170010447502136
goal(0, 0) = 0.2780945301055908
goal(3, 3) = 0.26871150732040405
goal(3, 4) = 0.29213035106658936
goal(4, 2) = 0.2702889144420624
enemy(1, 3) = 0.2756614685058594
enemy(2, 0) = 0.2861458659172058
enemy(2, 1) = 0.3158038854598999
enemy(2, 3) = 0.33554014563560486
enemy(3, 2) = 0.2750598192214966
enemy(3, 3) = 0.2991103231906891
enemy(3, 4) = 0.27119743824005127
enemy(4, 3) = 0.28746628761291504
