actor(0, 3) = 0.35517632961273193
actor(1, 0) = 0.3682258427143097
actor(1, 4) = 0.3229660987854004
actor(2, 3) = 0.3379347324371338
goal(1, 3) = 0.27317625284194946
goal(1, 4) = 0.2524614632129669
goal(3, 1) = 0.2694706916809082
goal(4, 1) = 0.26029133796691895
enemy(0, 1) = 0.26161330938339233
enemy(1, 1) = 0.2794472873210907
enemy(1, 2) = 0.2544126808643341
enemy(2, 0) = 0.2582322657108307
enemy(2, 3) = 0.268095463514328
enemy(2, 4) = 0.27078917622566223
enemy(4, 0) = 0.2616817355155945
enemy(4, 3) = 0.27955716848373413
