actor(0, 0) = 0.5550649762153625
actor(2, 0) = 0.41353973746299744
actor(3, 1) = 0.3838687837123871
actor(4, 1) = 0.39037516713142395
goal(0, 4) = 0.27302730083465576
goal(1, 1) = 0.37715721130371094
goal(1, 4) = 0.2595154345035553
goal(4, 0) = 0.2609093487262726
enemy(1, 0) = 0.24744975566864014
enemy(1, 3) = 0.24179735779762268
enemy(1, 4) = 0.23718522489070892
enemy(2, 2) = 0.23142901062965393
enemy(2, 3) = 0.24265865981578827
enemy(2, 4) = 0.25871893763542175
enemy(3, 3) = 0.23177482187747955
enemy(4, 4) = 0.23429647088050842
