actor(0, 3) = 0.34378582239151
actor(2, 0) = 0.38721054792404175
actor(2, 3) = 0.5221078991889954
actor(2, 4) = 0.3388848602771759
goal(0, 4) = 0.2712786793708801
goal(2, 2) = 0.2720310688018799
goal(3, 3) = 0.27299070358276367
goal(4, 2) = 0.3872014284133911
enemy(1, 0) = 0.24672655761241913
enemy(1, 4) = 0.23836077749729156
enemy(2, 0) = 0.23897555470466614
enemy(2, 2) = 0.22911523282527924
enemy(3, 0) = 0.246222585439682
enemy(3, 2) = 0.2405550479888916
enemy(3, 3) = 0.23172804713249207
enemy(4, 4) = 0.23845158517360687
