actor(0, 2) = 0.30317428708076477
actor(1, 4) = 0.31028419733047485
actor(2, 1) = 0.32803353667259216
actor(3, 3) = 0.30255773663520813
goal(0, 1) = 0.26953476667404175
goal(1, 2) = 0.26414042711257935
goal(4, 1) = 0.2678944766521454
goal(4, 4) = 0.28703904151916504
enemy(0, 0) = 0.30110472440719604
enemy(0, 3) = 0.2705793082714081
enemy(1, 1) = 0.32164931297302246
enemy(2, 0) = 0.26976338028907776
enemy(3, 0) = 0.2908061444759369
enemy(3, 1) = 0.26203981041908264
enemy(3, 4) = 0.279361754655838
enemy(4, 4) = 0.26733407378196716
