actor(0, 2) = 0.30861666798591614
actor(2, 0) = 0.30582574009895325
actor(3, 0) = 0.3531382083892822
actor(4, 3) = 0.3215244710445404
goal(0, 3) = 0.26413238048553467
goal(1, 4) = 0.279530793428421
goal(3, 2) = 0.30436864495277405
goal(4, 0) = 0.275431364774704
enemy(0, 0) = 0.2628699243068695
enemy(0, 1) = 0.2669123113155365
enemy(0, 2) = 0.2812160551548004
enemy(2, 1) = 0.25630563497543335
enemy(2, 2) = 0.2725616693496704
enemy(2, 4) = 0.2988041043281555
enemy(3, 4) = 0.25756627321243286
enemy(4, 1) = 0.30770745873451233
