actor(0, 4) = 0.28030481934547424
actor(1, 2) = 0.34998637437820435
actor(1, 4) = 0.2891218662261963
actor(2, 2) = 0.2932265102863312
goal(0, 0) = 0.2828370928764343
goal(1, 2) = 0.28023621439933777
goal(1, 3) = 0.315890908241272
goal(2, 4) = 0.294437974691391
enemy(0, 1) = 0.27290207147598267
enemy(0, 2) = 0.3356153666973114
enemy(0, 3) = 0.27282416820526123
enemy(2, 1) = 0.2694733440876007
enemy(2, 3) = 0.2682305872440338
enemy(3, 3) = 0.27476567029953003
enemy(3, 4) = 0.27903178334236145
enemy(4, 2) = 0.26086655259132385
