actor(1, 4) = 0.36319491267204285
actor(2, 1) = 0.36909863352775574
actor(2, 3) = 0.4677357077598572
actor(4, 2) = 0.3662344217300415
goal(0, 1) = 0.26959553360939026
goal(3, 4) = 0.26844245195388794
goal(4, 2) = 0.2855996787548065
goal(4, 3) = 0.32148507237434387
enemy(0, 0) = 0.23905640840530396
enemy(0, 3) = 0.2496626079082489
enemy(1, 0) = 0.23858097195625305
enemy(2, 2) = 0.23439359664916992
enemy(3, 0) = 0.24544237554073334
enemy(3, 2) = 0.24672697484493256
enemy(4, 3) = 0.23416845500469208
enemy(4, 4) = 0.23236429691314697
