actor(1, 4) = 0.32006940245628357
actor(2, 1) = 0.3828720152378082
actor(4, 2) = 0.36497780680656433
actor(4, 3) = 0.3329578936100006
goal(0, 0) = 0.2754485011100769
goal(0, 2) = 0.285165011882782
goal(1, 1) = 0.2668803334236145
goal(4, 3) = 0.35889628529548645
enemy(0, 3) = 0.23553849756717682
enemy(1, 0) = 0.23123525083065033
enemy(2, 0) = 0.2940921485424042
enemy(2, 2) = 0.26154521107673645
enemy(3, 0) = 0.2496490776538849
enemy(3, 4) = 0.23230600357055664
enemy(4, 0) = 0.23588927090168
enemy(4, 1) = 0.24019628763198853
