actor(0, 2) = 0.3281492590904236
actor(1, 1) = 0.5260978937149048
actor(1, 4) = 0.30986782908439636
actor(3, 4) = 0.344949871301651
goal(1, 0) = 0.263759583234787
goal(2, 1) = 0.264415442943573
goal(3, 0) = 0.376803457736969
goal(3, 2) = 0.31029269099235535
enemy(0, 2) = 0.23770125210285187
enemy(0, 3) = 0.26973554491996765
enemy(0, 4) = 0.23816637694835663
enemy(3, 2) = 0.2405933141708374
enemy(3, 3) = 0.24824665486812592
enemy(4, 1) = 0.2340794950723648
enemy(4, 2) = 0.2299320101737976
enemy(4, 3) = 0.23618698120117188
