actor(0, 2) = 0.3041192889213562
actor(1, 0) = 0.2824268341064453
actor(1, 2) = 0.290193647146225
actor(3, 1) = 0.3037519156932831
goal(0, 0) = 0.27726539969444275
goal(0, 4) = 0.2683780789375305
goal(1, 3) = 0.26830777525901794
goal(1, 4) = 0.2840164005756378
enemy(0, 3) = 0.2917803227901459
enemy(1, 4) = 0.2997801899909973
enemy(2, 0) = 0.3059322237968445
enemy(2, 1) = 0.3188305199146271
enemy(2, 2) = 0.2817719876766205
enemy(3, 2) = 0.3139554262161255
enemy(4, 2) = 0.28436121344566345
enemy(4, 3) = 0.2881513237953186
