actor(0, 2) = 0.5576578974723816
actor(2, 0) = 0.36013278365135193
actor(2, 2) = 0.35704725980758667
actor(2, 4) = 0.36053285002708435
goal(0, 0) = 0.28705036640167236
goal(1, 3) = 0.314164400100708
goal(3, 3) = 0.26044341921806335
goal(4, 2) = 0.26115691661834717
enemy(0, 1) = 0.2319726049900055
enemy(1, 0) = 0.257617324590683
enemy(2, 1) = 0.2655378580093384
enemy(2, 3) = 0.24792401492595673
enemy(3, 0) = 0.22888968884944916
enemy(3, 2) = 0.25162768363952637
enemy(4, 1) = 0.2409481555223465
enemy(4, 4) = 0.24122677743434906
