actor(0, 0) = 0.32108211517333984
actor(3, 2) = 0.3267565071582794
actor(3, 4) = 0.45144227147102356
actor(4, 4) = 0.31507909297943115
goal(0, 0) = 0.27001506090164185
goal(2, 2) = 0.2664230465888977
goal(4, 0) = 0.26721471548080444
goal(4, 3) = 0.30679088830947876
enemy(0, 1) = 0.24840976297855377
enemy(0, 3) = 0.26158013939857483
enemy(1, 1) = 0.2423727661371231
enemy(2, 0) = 0.23739299178123474
enemy(2, 1) = 0.24676471948623657
enemy(2, 3) = 0.23003244400024414
enemy(2, 4) = 0.24283628165721893
enemy(3, 0) = 0.26537424325942993
