actor(0, 1) = 0.30060067772865295
actor(1, 1) = 0.28753095865249634
actor(3, 1) = 0.2861568033695221
actor(3, 2) = 0.3058341145515442
goal(0, 0) = 0.2638428509235382
goal(1, 0) = 0.2809450030326843
goal(4, 2) = 0.2633184790611267
goal(4, 3) = 0.29948967695236206
enemy(0, 2) = 0.31480708718299866
enemy(1, 4) = 0.26769694685935974
enemy(2, 2) = 0.2758525013923645
enemy(3, 2) = 0.2841046154499054
enemy(3, 3) = 0.26728761196136475
enemy(3, 4) = 0.27583834528923035
enemy(4, 1) = 0.2705226540565491
enemy(4, 3) = 0.30019867420196533
