actor(0, 2) = 0.3361736238002777
actor(1, 2) = 0.33660751581192017
actor(3, 4) = 0.31689611077308655
actor(4, 2) = 0.34873589873313904
goal(0, 0) = 0.25611183047294617
goal(1, 4) = 0.25294768810272217
goal(2, 3) = 0.32521674036979675
goal(3, 1) = 0.26537254452705383
enemy(0, 3) = 0.2844299376010895
enemy(0, 4) = 0.26868143677711487
enemy(1, 0) = 0.2585733234882355
enemy(1, 1) = 0.2546576261520386
enemy(2, 1) = 0.25055596232414246
enemy(2, 2) = 0.2523080110549927
enemy(3, 3) = 0.24526749551296234
enemy(4, 3) = 0.25720489025115967
