actor(0, 2) = 0.2990710139274597
actor(1, 2) = 0.3025883734226227
actor(2, 0) = 0.3273095190525055
actor(3, 2) = 0.35393738746643066
goal(0, 0) = 0.27225738763809204
goal(0, 4) = 0.2628578841686249
goal(2, 2) = 0.2644277513027191
goal(4, 0) = 0.26911064982414246
enemy(0, 3) = 0.26833173632621765
enemy(1, 0) = 0.27051228284835815
enemy(1, 1) = 0.2832152843475342
enemy(2, 1) = 0.2721615731716156
enemy(2, 2) = 0.2675864100456238
enemy(3, 3) = 0.28874143958091736
enemy(3, 4) = 0.28583574295043945
enemy(4, 1) = 0.30479666590690613
