actor(0, 2) = 0.318982869386673
actor(1, 0) = 0.33036819100379944
actor(2, 2) = 0.3405923843383789
actor(4, 3) = 0.31177225708961487
goal(0, 4) = 0.2615791857242584
goal(3, 2) = 0.2607707679271698
goal(3, 3) = 0.2645677924156189
goal(3, 4) = 0.30559834837913513
enemy(0, 3) = 0.26392820477485657
enemy(1, 1) = 0.2626819312572479
enemy(1, 2) = 0.2605825364589691
enemy(2, 1) = 0.2595265209674835
enemy(3, 1) = 0.30872049927711487
enemy(3, 3) = 0.2852434515953064
enemy(4, 0) = 0.28913062810897827
enemy(4, 1) = 0.2569107115268707
