actor(0, 1) = 0.43575531244277954
actor(2, 4) = 0.3459782898426056
actor(4, 0) = 0.33685818314552307
actor(4, 3) = 0.33204200863838196
goal(0, 0) = 0.2997070848941803
goal(1, 1) = 0.31577837467193604
goal(1, 3) = 0.2653219997882843
goal(4, 0) = 0.2873915135860443
enemy(1, 0) = 0.24508439004421234
enemy(2, 1) = 0.24348698556423187
enemy(2, 2) = 0.24171864986419678
enemy(2, 4) = 0.2466452419757843
enemy(3, 0) = 0.24554023146629333
enemy(3, 1) = 0.28089842200279236
enemy(3, 2) = 0.24014274775981903
enemy(3, 3) = 0.24758382141590118
