actor(3, 0) = 0.29196566343307495
actor(4, 0) = 0.2920111119747162
actor(4, 1) = 0.2859039306640625
actor(4, 2) = 0.32611849904060364
goal(0, 0) = 0.27866774797439575
goal(2, 1) = 0.27073758840560913
goal(3, 2) = 0.2782544195652008
goal(4, 4) = 0.32390159368515015
enemy(0, 1) = 0.26339948177337646
enemy(0, 3) = 0.258331298828125
enemy(2, 0) = 0.25709068775177
enemy(2, 2) = 0.2738651633262634
enemy(2, 4) = 0.27650848031044006
enemy(3, 3) = 0.26115450263023376
enemy(3, 4) = 0.26216351985931396
enemy(4, 3) = 0.2613270878791809
