actor(1, 2) = 0.3036276698112488
actor(4, 0) = 0.28815600275993347
actor(4, 2) = 0.2922705411911011
actor(4, 3) = 0.29316410422325134
goal(0, 1) = 0.270535409450531
goal(2, 1) = 0.30605003237724304
goal(2, 4) = 0.2808922231197357
goal(3, 1) = 0.26807916164398193
enemy(0, 0) = 0.2679280638694763
enemy(0, 3) = 0.2647283971309662
enemy(1, 1) = 0.27286475896835327
enemy(1, 2) = 0.2646387219429016
enemy(2, 1) = 0.29175812005996704
enemy(2, 2) = 0.3280788064002991
enemy(4, 0) = 0.2882491648197174
enemy(4, 3) = 0.26412299275398254
