actor(0, 0) = 0.37208378314971924
actor(3, 2) = 0.36864519119262695
actor(3, 3) = 0.3126187324523926
actor(4, 0) = 0.3565828800201416
goal(1, 0) = 0.2835327088832855
goal(3, 0) = 0.3415984809398651
goal(3, 1) = 0.29081037640571594
goal(3, 4) = 0.2731803357601166
enemy(0, 2) = 0.26106366515159607
enemy(0, 3) = 0.2601057291030884
enemy(0, 4) = 0.24612031877040863
enemy(1, 1) = 0.2381948083639145
enemy(1, 2) = 0.25993531942367554
enemy(1, 3) = 0.26525869965553284
enemy(2, 2) = 0.2507559359073639
enemy(2, 4) = 0.24390800297260284
