actor(0, 1) = 0.4117501974105835
actor(3, 0) = 0.3661896288394928
actor(3, 1) = 0.41190460324287415
actor(4, 2) = 0.41574326157569885
goal(0, 4) = 0.26685672998428345
goal(1, 1) = 0.26072853803634644
goal(2, 2) = 0.2608849108219147
goal(3, 4) = 0.3102739751338959
enemy(0, 2) = 0.23330996930599213
enemy(0, 4) = 0.2331983596086502
enemy(1, 3) = 0.24718980491161346
enemy(2, 1) = 0.23683816194534302
enemy(2, 2) = 0.23881657421588898
enemy(3, 2) = 0.24068546295166016
enemy(3, 4) = 0.2393421232700348
enemy(4, 1) = 0.2560174763202667
