actor(0, 0) = 0.39199262857437134
actor(2, 3) = 0.3642692565917969
actor(3, 1) = 0.371780127286911
actor(4, 3) = 0.37500470876693726
goal(1, 2) = 0.2762148082256317
goal(2, 2) = 0.276706725358963
goal(2, 4) = 0.27140238881111145
goal(4, 0) = 0.2684803903102875
enemy(0, 0) = 0.23901425302028656
enemy(0, 3) = 0.23921145498752594
enemy(1, 0) = 0.24134725332260132
enemy(2, 2) = 0.25238803029060364
enemy(2, 4) = 0.24533218145370483
enemy(4, 1) = 0.2391587793827057
enemy(4, 2) = 0.24288809299468994
enemy(4, 4) = 0.23653383553028107
