actor(1, 1) = 0.29568031430244446
actor(3, 2) = 0.3047254979610443
actor(4, 0) = 0.3083706796169281
actor(4, 3) = 0.3019987940788269
goal(1, 0) = 0.2721657156944275
goal(1, 2) = 0.301894873380661
goal(2, 3) = 0.3362302780151367
goal(4, 1) = 0.276572048664093
enemy(0, 3) = 0.2579295337200165
enemy(0, 4) = 0.2591261565685272
enemy(1, 0) = 0.2655387222766876
enemy(1, 3) = 0.25221389532089233
enemy(1, 4) = 0.25448185205459595
enemy(2, 1) = 0.264554888010025
enemy(2, 2) = 0.25961899757385254
enemy(3, 2) = 0.27049729228019714
