actor(0, 2) = 0.2833021283149719
actor(1, 4) = 0.29467394948005676
actor(2, 3) = 0.286546915769577
actor(4, 3) = 0.2963176667690277
goal(1, 1) = 0.28244736790657043
goal(2, 2) = 0.29459524154663086
goal(4, 0) = 0.273971825838089
goal(4, 1) = 0.2713092565536499
enemy(0, 1) = 0.27837955951690674
enemy(0, 3) = 0.27581483125686646
enemy(2, 1) = 0.2703171372413635
enemy(2, 4) = 0.27415770292282104
enemy(3, 1) = 0.2757890820503235
enemy(3, 3) = 0.3009865880012512
enemy(4, 0) = 0.27005869150161743
enemy(4, 4) = 0.31897464394569397
