actor(0, 2) = 0.329283207654953
actor(2, 3) = 0.3592313528060913
actor(4, 2) = 0.33366554975509644
actor(4, 3) = 0.34632641077041626
goal(1, 3) = 0.27517491579055786
goal(2, 0) = 0.28553107380867004
goal(3, 4) = 0.28295817971229553
goal(4, 0) = 0.2806115448474884
enemy(0, 1) = 0.25183236598968506
enemy(1, 1) = 0.24833744764328003
enemy(1, 3) = 0.2529754042625427
enemy(1, 4) = 0.2411508560180664
enemy(2, 2) = 0.2512221038341522
enemy(3, 2) = 0.2527424097061157
enemy(4, 0) = 0.2457902580499649
enemy(4, 4) = 0.2512904107570648
