actor(1, 2) = 0.3664518892765045
actor(2, 4) = 0.37038329243659973
actor(3, 3) = 0.4186463952064514
actor(4, 0) = 0.4084610044956207
goal(0, 0) = 0.2698809504508972
goal(2, 2) = 0.2766072452068329
goal(3, 2) = 0.26692014932632446
goal(4, 3) = 0.2757158577442169
enemy(0, 1) = 0.24564678966999054
enemy(0, 4) = 0.2391664981842041
enemy(2, 1) = 0.24925421178340912
enemy(2, 3) = 0.23039484024047852
enemy(3, 3) = 0.23449493944644928
enemy(4, 1) = 0.22900986671447754
enemy(4, 3) = 0.2342814952135086
enemy(4, 4) = 0.2289297878742218
