actor(0, 0) = 0.35284021496772766
actor(2, 3) = 0.35189616680145264
actor(3, 0) = 0.3275299668312073
actor(4, 2) = 0.3052607774734497
goal(1, 3) = 0.26221296191215515
goal(3, 3) = 0.29708239436149597
goal(4, 0) = 0.2661032974720001
goal(4, 3) = 0.2674517035484314
enemy(0, 2) = 0.24947446584701538
enemy(0, 3) = 0.24992229044437408
enemy(0, 4) = 0.254182368516922
enemy(1, 2) = 0.24972936511039734
enemy(1, 3) = 0.26485979557037354
enemy(1, 4) = 0.24597860872745514
enemy(2, 2) = 0.2605624496936798
enemy(4, 0) = 0.2588347792625427
