actor(1, 2) = 0.3165875971317291
actor(2, 0) = 0.36271122097969055
actor(3, 1) = 0.3092323839664459
actor(3, 2) = 0.30368825793266296
goal(1, 3) = 0.27416589856147766
goal(3, 0) = 0.3457127511501312
goal(3, 3) = 0.27051880955696106
goal(3, 4) = 0.2658415138721466
enemy(0, 2) = 0.2538794279098511
enemy(1, 0) = 0.2515895962715149
enemy(1, 1) = 0.247205451130867
enemy(2, 1) = 0.2593590319156647
enemy(2, 4) = 0.25026383996009827
enemy(3, 4) = 0.2637339234352112
enemy(4, 0) = 0.2847002446651459
enemy(4, 2) = 0.2556299567222595
