actor(0, 4) = 0.3960718512535095
actor(2, 4) = 0.34105047583580017
actor(4, 2) = 0.33468249440193176
actor(4, 3) = 0.33486104011535645
goal(2, 2) = 0.2663396894931793
goal(3, 1) = 0.2749800682067871
goal(4, 1) = 0.2666501998901367
goal(4, 4) = 0.2698863446712494
enemy(0, 1) = 0.24139404296875
enemy(0, 3) = 0.28620821237564087
enemy(1, 1) = 0.25314003229141235
enemy(1, 2) = 0.24137380719184875
enemy(1, 4) = 0.24472102522850037
enemy(2, 0) = 0.2866377830505371
enemy(3, 0) = 0.23922164738178253
enemy(3, 4) = 0.24007035791873932
