actor(0, 2) = 0.45455819368362427
actor(2, 2) = 0.32186558842658997
actor(3, 1) = 0.32285916805267334
actor(4, 3) = 0.3276040256023407
goal(1, 0) = 0.29898837208747864
goal(1, 1) = 0.2664913237094879
goal(2, 1) = 0.25922060012817383
goal(2, 2) = 0.2614832818508148
enemy(0, 3) = 0.24893927574157715
enemy(0, 4) = 0.2841061055660248
enemy(1, 0) = 0.2622425854206085
enemy(1, 3) = 0.25026944279670715
enemy(2, 3) = 0.25336411595344543
enemy(3, 0) = 0.262971431016922
enemy(3, 2) = 0.26665598154067993
enemy(3, 4) = 0.25596678256988525
