actor(1, 2) = 0.3234632909297943
actor(2, 4) = 0.3707396686077118
actor(3, 4) = 0.40675875544548035
actor(4, 0) = 0.43906816840171814
goal(0, 2) = 0.25792282819747925
goal(1, 3) = 0.2536943256855011
goal(2, 1) = 0.2650771141052246
goal(4, 4) = 0.2527604103088379
enemy(0, 3) = 0.275145560503006
enemy(0, 4) = 0.2534145712852478
enemy(1, 3) = 0.2485867142677307
enemy(1, 4) = 0.24834519624710083
enemy(2, 1) = 0.26325181126594543
enemy(2, 3) = 0.26738250255584717
enemy(3, 0) = 0.24940302968025208
enemy(3, 2) = 0.26129165291786194
