actor(0, 1) = 0.30957338213920593
actor(2, 2) = 0.4162088632583618
actor(3, 2) = 0.3057880699634552
actor(4, 0) = 0.3074977993965149
goal(0, 0) = 0.2698001265525818
goal(0, 2) = 0.27233779430389404
goal(3, 1) = 0.26925280690193176
goal(4, 2) = 0.2694057524204254
enemy(0, 2) = 0.25362256169319153
enemy(0, 3) = 0.25885847210884094
enemy(1, 3) = 0.24896806478500366
enemy(2, 0) = 0.28964096307754517
enemy(2, 3) = 0.26220017671585083
enemy(3, 1) = 0.265250563621521
enemy(3, 4) = 0.25339385867118835
enemy(4, 3) = 0.2612679898738861
