actor(0, 2) = 0.31578630208969116
actor(2, 2) = 0.3506756126880646
actor(2, 3) = 0.33325082063674927
actor(4, 0) = 0.30922731757164
goal(0, 0) = 0.26381775736808777
goal(3, 0) = 0.2650698721408844
goal(4, 1) = 0.26278698444366455
goal(4, 3) = 0.27645111083984375
enemy(0, 1) = 0.2934018075466156
enemy(0, 3) = 0.2687315046787262
enemy(1, 3) = 0.261843204498291
enemy(2, 0) = 0.2519293427467346
enemy(2, 4) = 0.2610250413417816
enemy(3, 1) = 0.2570652663707733
enemy(3, 2) = 0.2935057282447815
enemy(3, 3) = 0.27284321188926697
