actor(0, 2) = 0.3338903486728668
actor(1, 1) = 0.3554118275642395
actor(3, 3) = 0.3155157268047333
actor(4, 1) = 0.33465442061424255
goal(2, 2) = 0.3312557339668274
goal(2, 4) = 0.28520700335502625
goal(4, 0) = 0.263148695230484
goal(4, 1) = 0.26845109462738037
enemy(0, 0) = 0.24212244153022766
enemy(0, 1) = 0.2636755108833313
enemy(0, 3) = 0.2653559744358063
enemy(1, 3) = 0.2524819076061249
enemy(1, 4) = 0.28932029008865356
enemy(2, 3) = 0.26867803931236267
enemy(3, 4) = 0.25072455406188965
enemy(4, 4) = 0.290199875831604
