actor(2, 2) = 0.47793272137641907
actor(3, 2) = 0.34337183833122253
actor(3, 4) = 0.3417750597000122
actor(4, 3) = 0.35947611927986145
goal(1, 0) = 0.29764774441719055
goal(1, 4) = 0.2758621275424957
goal(2, 4) = 0.33213481307029724
goal(3, 2) = 0.27889296412467957
enemy(0, 1) = 0.24410589039325714
enemy(0, 4) = 0.2490628957748413
enemy(1, 3) = 0.24860432744026184
enemy(2, 0) = 0.2450152337551117
enemy(2, 1) = 0.25504833459854126
enemy(2, 4) = 0.2649787664413452
enemy(3, 3) = 0.25191280245780945
enemy(4, 4) = 0.2435770332813263
