actor(0, 1) = 0.39498215913772583
actor(1, 2) = 0.3340943157672882
actor(4, 0) = 0.3101367652416229
actor(4, 3) = 0.3226201832294464
goal(0, 0) = 0.27690041065216064
goal(0, 4) = 0.27537867426872253
goal(1, 4) = 0.26548564434051514
goal(2, 0) = 0.2731282711029053
enemy(0, 1) = 0.2622615396976471
enemy(0, 2) = 0.28637003898620605
enemy(1, 4) = 0.24337176978588104
enemy(2, 3) = 0.23993542790412903
enemy(3, 0) = 0.24817095696926117
enemy(3, 3) = 0.28088828921318054
enemy(4, 0) = 0.24936823546886444
enemy(4, 3) = 0.2403150349855423
