actor(0, 3) = 0.43587586283683777
actor(1, 0) = 0.319443017244339
actor(3, 3) = 0.3180240988731384
actor(4, 2) = 0.3316132426261902
goal(0, 1) = 0.266646146774292
goal(2, 1) = 0.26295605301856995
goal(2, 2) = 0.29333868622779846
goal(4, 0) = 0.28587180376052856
enemy(0, 0) = 0.24362507462501526
enemy(0, 4) = 0.24315598607063293
enemy(1, 0) = 0.26640158891677856
enemy(1, 2) = 0.2595410943031311
enemy(1, 3) = 0.24954354763031006
enemy(3, 4) = 0.23972105979919434
enemy(4, 2) = 0.2528398036956787
enemy(4, 4) = 0.25613465905189514
