actor(0, 3) = 0.44488224387168884
actor(2, 3) = 0.3367868661880493
actor(3, 4) = 0.37414106726646423
actor(4, 3) = 0.3388291299343109
goal(0, 3) = 0.27482327818870544
goal(2, 2) = 0.2948017418384552
goal(2, 3) = 0.2724597454071045
goal(4, 1) = 0.28400272130966187
enemy(1, 1) = 0.26339447498321533
enemy(1, 4) = 0.2317596822977066
enemy(2, 1) = 0.23624573647975922
enemy(2, 2) = 0.23698292672634125
enemy(3, 0) = 0.24706098437309265
enemy(3, 2) = 0.23300832509994507
enemy(4, 0) = 0.2393021583557129
enemy(4, 2) = 0.24329502880573273
